"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10835","file dowbloading from page","","2026-02-26","passed","2026-02-26","","ui.spec.js","",""
"","6987","file uploading on page","","2026-02-26","passed","2026-02-26","","ui.spec.js","",""
